Dataset,Model,MSE,RMSE,MAE,R2
16 Features,Linear Regression,1.3024,1.1412,0.7134,0.9979
16 Features,Random Forest,0.0173,0.1314,0.0524,1.0
16 Features,XGBoost,0.0732,0.2705,0.105,0.9999
10 Features,Linear Regression,1.3376,1.1566,0.7303,0.9979
10 Features,Random Forest,0.0187,0.1366,0.0608,1.0
10 Features,XGBoost,0.0847,0.291,0.1081,0.9999
20 Features (16+4),Linear Regression,1.2306,1.1093,0.6944,0.998
20 Features (16+4),Random Forest,0.0149,0.1219,0.0518,1.0
20 Features (16+4),XGBoost,0.0538,0.2319,0.1005,0.9999
13 Features (10+4),Linear Regression,1.2827,1.1326,0.7225,0.998
13 Features (10+4),Random Forest,0.0166,0.129,0.0603,1.0
13 Features (10+4),XGBoost,0.0697,0.264,0.1025,0.9999
